clean_text,sentiment
mematikan ukm lokal,negative
semua partai yayasan bawah naungan partai mendapat untung besar sedang rakyat mendapat dampak sgala knaikan harga,negative
keluarga penjual telur sangat senang adanya mbg,positive
pedesaan sengat sangat membantu adanya mbg,positive
untungkan koruptor mbg mulai bgn sppg kroni kroni pemerintah,negative
untungkan rakyat kecil,positive
mahasiswa riset pasar sayurar jelas diuntungkan dr mbg org bergerak sektor agraris bahan baku makanan nelayan peternak petani harga sayur stabil daya serap bahan baku makanan tinggi sekali fluktuasi harga tidak separah mbg dulu sangat membantu rakyat kecil umkm bahkan sangat berpotensi mengembangkan ekonomi indonesia sektor agraris anak sekolahan tadinya malasan sekolah sekarang jadi rajin keenakan malah sekolah dikasih makan enggak perlu bawa bekal enggak perlu jajan enggak jajanan micin gizi diatur enak sangat pengelola dapur mbg pengurus enggak mungkin kan kerja enggak digajih pembentukan lapangan kerja baru jadi mbg sangat dasyat dampak positifnya pengusungnya orang genius,positive
bohong mbg korup semuanya,negative
uang haram rejeki haram,negative
mbg permintaan sembako naik akhirnya harga sembako ikut naik harga beras tadinya rbkg sekarang jadi rbkg pemerintah hentikan program mbg,negative
masarakat kecil semakin soro susah,negative
kalau tidak koneksi jangan harap terlibat mbg,neutral
akhirnya anakanak daerah sulit kebagian perhatian lebih lewat program mbg presiden prabowo,positive
bukan rahasia mbg menguntungkan kroni prabowo politik balas budi jaga suara pilpres,negative
diuntungkan tetap koruptor siswa keracunan dianggap tidak,negative
tepat sasaranyng miskin makin miskin,negative
kantin sekolah merugi,negative
program goblok bikin emosi rakyat indonesia stop ganti sama sekolah gratis,negative
senang pekerja bukan anak anak sebenernya merugikan menguntungkan pihak proyek,negative
mbg menggantikan bansos sejenisnya spt blt ternyata dikorupsi bapaknya ut judol dikorupsi ibunya ut beli bedak lipstik anaknya tetap aja tidak makan stunting kurang gizi mbg jelas jelas lebih baik,positive
diuntungkan pemilik yayasan pemilik dapur mbg apa untungnya rakyat mbg gk,negative
terima kasih pak prabowo membantu rakyat kecil sangat merasa terbantu adanya program,positive
untung tikus kantor,negative
program tidak jelas sarat korupsi kolusi nepotisme program sbnarnya persiapan penggalangan suara pemilu jilid nnti coba buktikan mana perubahannya anak makin cerdas stelah mendapatkan program mbg mana buktinya mana,negative
turunkan presiden praboworubah program mbg menjadi tf anggaran langsung mendapatkannya bulan pencairan,neutral
mbb memperkaya orang kayadan memberi orang korupsi didaerah kades,negative
dustribusi mbg jorokkk,negative
belum foodwaste susah mahamin selera anak anak tuh tiap hari tumpukan gunung sampah makanan mbg dibuang karna tidak doyan bahkan tidak jarang satu sekolah kompak kompakan tidak makan karna gasuka sama menu haduh kalau kelola sampah baik okla kalau tidak astaga sia sia sangat sumpah,negative
tutup mah hapus tutup rakyat sengsara bikin rakyat sengsara,negative
gizi tumbuh makan tidak gizinya korup iya,negative
maaf tujuan awalmang apasih koq sering kali banyak kasus keracunanya cara memasaknya apa masak tidak bukan sehat malah keracunan nauzubil lah makanya gakada enak,negative
pedagang makanan kantin sekolah anjlok pendapatan belum sewa kantin sekolah rata lapak kantin lapak pekerja pekerja menafkahi orang anggota keluarga,neutral
assalamualaikum mf kpd pengurus mbg aku mau tanya tidak minta air mbg masyarakat lingkungan mbg mohon aku tunggu jawabannya terima kasih,neutral
terimakasih pak prabowo terus berjuang rakyatmu indonesia nkri lanjutkan program mbg koperasi merah putih rakyat sangat membutuhkan,neutral
relawan snipper buat habisi koruptor anggota keluarkan dana mbg,neutral
mewakili pedagang buah sayur keliling pakai motoradalah korban terdampak mbgdi wilayah tujuh kabupaten provinsi jabaryg membeli pasar induk moden cikopodan psdaerah jatibarang indramayukeluhan harga belanja jadi naik drastis dan harga jual susah karena serobot mbg ini fakta tolong dpr dengar,negative
project,neutral
akibat memiliki pemimpin giveaway terlalu uzur pikun mudah dikendalikan kronikroni laknatullah,neutral
negara buat uang relawan presiden rakyat terima separoh cuma porsi jadi dibagi maling,neutral
