clean_text,sentiment
orang yang menuduh adalah dia yang tidak mampu membangun argumentasi. kasihan anda ini,negative
fix kedepan nya saya pribadi tidak mau milih gerinda serta kroni partainya 😅 cukup paham dgn omon omon,negative
"tidak usah makan gratis, waktu pembuatan komponen cadangan itu jg proyek 😂. macam tidak tau akal bulus pejabat aja",negative
podcast omon2 narasumber tidak jelas hanya berdasarkan nasrasi2 dan asumsi tanpa fakta😂😂😂 sekali2 menghadirkan dong narasumber yang jelas 😂😂😂 ya tidak bakalan bisa lah 😂😂😂 kan modal asumsi doang😂😂😂,negative
proyek pemborosan karena tidak semua kekurangan gizi😢,negative
menjadi mitra pun tidak gampang kok. mereka harus menyiapkan segalanya dengan modal sendiri bukan uang yayasan atau dari negara.,neutral
"mbg program yang dipaksakan dan blum.tentu tepat sasaran anak2 orang kaya juga ikut menikmati,,,bahkan anak tidak merasa bersyukur sebagian demikian",negative
"kritik tempo, bagus lho untuk pak prabowo",positive
betul sekali banyak mubajirnya,negative
perencanaan nya amburadul,negative
semangat terus tempo dalam mengungkap kebrobrokan rezim dan penyimpangan pemerintah.jangan gentar dengan teror pengecut dan pengkhianat bangsa.maju terus jurnalistik tempo💪,positive
yang di untungkan keluarga teman sodara dewan,negative
emang bangke semua ini.... mentalitas proyek...,negative
semua akan jelas pada waktunya,neutral
yang untung mah ya yang ngelola,negative
bocor alus bahas dong dugaan ijazah palsu mulyono😊,negative
"dari awal kemunculannya mbg ini sudah beraroma busuk , polemik pengeritik bahkan penghujat karena begitu melimpah dgn masalah . ladang korupsi dimana2 . hanya karena sudah terlanjur merealisir janji kampanye ditambah presiden dijejali berita2 yang melenakan tanpa menelaah akar masalahnya. pengeritikpun menyampaikan solusi tapi semua diabaikannya. itu karena pencoleng2 yang menggerogoti tak henti menebarkan berita2 yang asal bapak senang , presidennya percaya saja. susahlah...",negative
jadi ingat kalimat kiki saputri yang sarkas: program beliau membuat lndonesia terang (tapi yang terang cuma kawan2 nya) 😂😂,negative
di lombok ada dapur prabowo entah jalan entah belum tapi kayaknya mangkrak karena proyek mbg belum terealisasi,negative
proses 5 tahun sekali jangan jangan adalah proses gantian merampok uang negara dengan berbagai proyeknya dengan kata2 manis atas nama rakyat maknya jadi masyarakat jangan bodo2 banget,negative
"nah gini donk tempo, cantumkan / endorse majalah tempo di sope, spya videonya bisa pop up spt premium",positive
"tempo itu anteknya george soros,coba elu liat perusahaan yang jadi investor nya,",negative
"saya penjual sayur lokal, semenjak dipake mbg permintaan naik, dapur saya tidak pernah sepi pesanan",positive
masih ada proyek sekolah rakyat,neutral
semangat terus untuk tempo 🫶,positive
"analisa dana mbg - rp.335 trilyun dibagi 365 hari = rp.917.9 milyar/hari - rp.917.9 milyar dibagi 45 juta keluarga = rp.20,300/hari - rp.20,300 dikali 30 hari = rp.609,000/bulan diatas bisa kita lihat 45 juta keluarga akan dapat uang tambahan rp.609,000/bulan/keluarga. jika satu keluarga ada 3 orang, maka ada 135 jt orang yang beban hidupnya agak berkurang. termasuk keluarga guru honorer didalamnya.",positive
program mbg bagus tapi pelaksanaannya harusnya tempo bantulah gimana pelaksanaannya yang bermanfaat bukan mencari cari kekurangannya harus seimbanglah jd profesional.akan lebih menarik tuk dibaca...❤,positive
04:23 buk kenapa sih buk? 😭🙏🏻,neutral
keren tempo ambil org tatoan jd jurnalis.kek di as juga nih,positive
​karena lu pengagum wowo dan mulyono !,negative
buat balik modal,neutral
"tempo top, trus berkarya untuk anak bangsa, tempo bukan penakut",positive
engk ada guna mbg,negative
❤❤ajak rakyat bersatu untuk bangkit melawan program gila oleh pemimpin pikun😊😊😊😊,negative
