author,text,time,votes,clean_text
@JCB12345,"Setelah saya menonton vidoe ini, saya tertegun dan berfikir apakah impact dari progam yang ambisius ini dan heboh., mega biaya.   Pada suatu hari dalam usaha saya meskipun itu usaha kecil namun erat hubungan dengan currency asing untuk pembelian bahan yang diperdagangkan. Hari demi hari, saya memantau nilai IDR terhadap USD . dan IDR terus melemah. Timbul pertanyaan saya untuk mencari tahu dan pada akhirnya  bertanya pada AI ,(copilot). dengan kata kunci "" apakah USD melemah di negara lain selain Indonesia?"" AI menjawabanya, mau tanya jawabannya? Silahkan ketik kata kunci tersebut. Selanjutnya saya belum puas, laku bertanya kembali dengan kata kunci "" tetapi pada kenyataannya kenapa IDR melemah""AI memberikan jawabannya. Sungguh saya termenung. tatkala membacanya. Salah satunya program pada video ini ikut ambil andil kontribusinya.",6 days ago,0,menonton vidoe tertegun berfikir impact progam ambisius heboh mega biaya suatu hari usaha meskipun usaha kecil erat hubungan currency asing pembelian bahan diperdagangkan hari hari memantau nilai idr usd idr terus melemah timbul pertanyaan mencari tahu akhirnya bertanya copilot kata kunci usd melemah negara indonesia menjawabanya mau tanya jawabannya silahkan ketik kata kunci tersebut selanjutnya puas laku bertanya kata kunci kenyataannya idr melemahai memberikan jawabannya sungguh termenung tatkala membacanya salah satunya program video ikut ambil andil kontribusinya
@DinaMarisa-q2r,Mbg ladang cuan omon omon dan kroninya 😮😮😮,8 days ago,1,mbg ladang cuan omon omon kroninya
@LuthMahesa,"efisiensi bkn berarti mengurangi tujuan program, tapi memastikan manfaat yg maksimal bagi masyarakat.",11 days ago,0,efisiensi bkn berarti mengurangi tujuan program memastikan manfaat maksimal masyarakat
@SolehSelalu,"untuk membantu memastikan bantuan benar2 diterima oleh kelompok yg membutuhkan, bkn terbuang di distribusi atau hal yg kurang penting.",11 days ago,0,membantu memastikan bantuan benar diterima kelompok membutuhkan bkn terbuang distribusi kurang penting
@andritaudiri6408,Semoga pak reza gak di teror asam sulfat,11 days ago,0,semoga pak reza gak teror asam sulfat
@herurover9263,"Pemerintah menegaskan bahwa anggaran MBG bukan berasal dari penghamburan uang, melainkan hasil dari penghematan dan efisiensi anggaran di sektor-sektor lain. contoh, pengurangan kegiatan tidak produktif, penyisiran anggaran.",11 days ago,0,pemerintah menegaskan anggaran mbg bukan berasal penghamburan uang hasil penghematan efisiensi anggaran sektorsektor contoh pengurangan kegiatan produktif penyisiran anggaran
@Pintawanbp,"MBG sebenarnya program bagus cuman sistemnya aja yang membuat banyak ladang korupsi. Padahal dengan masak besar-besaran seperti itu biaya lebih murah, tapi pemerintah mematok dengan harga perporsi. Perlu belajar dan riset lagi dari negara lain agar lebih efektif dan efisien programnya.",2 weeks ago,0,mbg sebenarnya program bagus cuman sistemnya aja membuat banyak ladang korupsi padahal masak besarbesaran biaya lebih murah pemerintah mematok harga perporsi perlu belajar riset negara lebih efektif efisien programnya
@teukuyuliansyah1847,Trims tuk konten nya. Saya tdk sanggup komentar.,2 weeks ago,0,trims tuk konten nya tdk sanggup komentar
@senopatiline803,"MBG : ""makan makan"" Bersama gratis. . . . 😂",2 weeks ago,2,mbg makan makan bersama gratis
@xneakerzxneakerz2567,"faktanya dilapangan yg duluan dapet sekolah2 bagus di kota karena administrasi, infrastruktur dan pasokan logistik mendukung. 
Daerah 3T ntah kapan.",2 weeks ago,0,faktanya dilapangan duluan dapet sekolah bagus kota administrasi infrastruktur pasokan logistik mendukung daerah ntah kapan
