author,text,time,votes
@JCB12345,"Setelah saya menonton vidoe ini, saya tertegun dan berfikir apakah impact dari progam yang ambisius ini dan heboh., mega biaya.   Pada suatu hari dalam usaha saya meskipun itu usaha kecil namun erat hubungan dengan currency asing untuk pembelian bahan yang diperdagangkan. Hari demi hari, saya memantau nilai IDR terhadap USD . dan IDR terus melemah. Timbul pertanyaan saya untuk mencari tahu dan pada akhirnya  bertanya pada AI ,(copilot). dengan kata kunci "" apakah USD melemah di negara lain selain Indonesia?"" AI menjawabanya, mau tanya jawabannya? Silahkan ketik kata kunci tersebut. Selanjutnya saya belum puas, laku bertanya kembali dengan kata kunci "" tetapi pada kenyataannya kenapa IDR melemah""AI memberikan jawabannya. Sungguh saya termenung. tatkala membacanya. Salah satunya program pada video ini ikut ambil andil kontribusinya.",6 days ago,0
@DinaMarisa-q2r,Mbg ladang cuan omon omon dan kroninya 😮😮😮,8 days ago,1
@LuthMahesa,"efisiensi bkn berarti mengurangi tujuan program, tapi memastikan manfaat yg maksimal bagi masyarakat.",11 days ago,0
@SolehSelalu,"untuk membantu memastikan bantuan benar2 diterima oleh kelompok yg membutuhkan, bkn terbuang di distribusi atau hal yg kurang penting.",11 days ago,0
@andritaudiri6408,Semoga pak reza gak di teror asam sulfat,11 days ago,0
@herurover9263,"Pemerintah menegaskan bahwa anggaran MBG bukan berasal dari penghamburan uang, melainkan hasil dari penghematan dan efisiensi anggaran di sektor-sektor lain. contoh, pengurangan kegiatan tidak produktif, penyisiran anggaran.",11 days ago,0
@Pintawanbp,"MBG sebenarnya program bagus cuman sistemnya aja yang membuat banyak ladang korupsi. Padahal dengan masak besar-besaran seperti itu biaya lebih murah, tapi pemerintah mematok dengan harga perporsi. Perlu belajar dan riset lagi dari negara lain agar lebih efektif dan efisien programnya.",2 weeks ago,0
@teukuyuliansyah1847,Trims tuk konten nya. Saya tdk sanggup komentar.,2 weeks ago,0
@senopatiline803,"MBG : ""makan makan"" Bersama gratis. . . . 😂",2 weeks ago,2
@xneakerzxneakerz2567,"faktanya dilapangan yg duluan dapet sekolah2 bagus di kota karena administrasi, infrastruktur dan pasokan logistik mendukung. 
Daerah 3T ntah kapan.",2 weeks ago,0
@ZAR556,"Maklum, 3x kalah pilpres

Bandar pingin cepet balik modal",2 weeks ago (edited),0
@milikidirimu2404,"Tidak apa sesak fiskal, yang penting tidak ada lagi anak Indonesia yang stunting. Persident melihat sendiri, anak umur 11 tahun badannya seperti anak umur 4 tahun.",2 weeks ago (edited),0
@enji7269,Kenapa tidak disediakan air minum ya dalam program mbg 😅,2 weeks ago,0
@idprofessor1819,PERLU DI HENTIKAN BUKANYA EFESIENSI,2 weeks ago,0
@asikinzainal1974,Sudah cukup sekali saja rezim ini,3 weeks ago,0
@didyliu3079,"Program yg penting menang pilpres tanpa rencana,makanya cari dananya begal sana sini dari duit2 hak subsidi lain",3 weeks ago,1
@hamonanganmanurung2504,MBG ( Makanan Busuk Gila) Ga layak utk Di makan,3 weeks ago,0
